"";"";"";"";"EcoT_France"
"";"";"";"EcoT_Bordeaux";"EcoT_France"
"";"";"EcoT_Admins";"EcoT_Bordeaux";"EcoT_France"
"";"";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"";"";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"";"";"EcoT_Secure";"EcoT_Bordeaux";"EcoT_France"
"";"";"EcoT_Servers";"EcoT_Bordeaux";"EcoT_France"
"";"ServiceCommercial";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"ADV";"ServiceCommercial";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"B2B";"ServiceCommercial";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"ServiceAchat";"ServiceCommercial";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"ServiceClient";"ServiceCommercial";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"";"Communication";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"CommunicationInterne";"Communication";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"RelationMedias";"Communication";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"";"Developpement";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"AnalyseConception";"Developpement";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"Developpement";"Developpement";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"TestQualite";"Developpement";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"";"Developpement";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"";"Developpement";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"";"Direction";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"";"DRH";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"";"DSI";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"Exploitation";"DSI";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"";"FinanceComptabilite";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"Finance";"FinanceComptabilite";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"Fiscalite";"FinanceComptabilite";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"ServiceComptabilite";"FinanceComptabilite";"EcoT_Computers";"EcoT_Bordeaux";"EcoT_France"
"";"ServiceCommercial";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"ADV";"ServiceCommercial";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"B2B";"ServiceCommercial";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"ServiceAchat";"ServiceCommercial";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"ServiceClient";"ServiceCommercial";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"";"Communication";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"CommunicationInterne";"Communication";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"RelationMedias";"Communication";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"";"Developpement";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"AnalyseConception";"Developpement";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"Developpement";"Developpement";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"TestQualite";"Developpement";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"";"Developpement";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"";"Developpement";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"";"Direction";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"";"DRH";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"";"DSI";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"Exploitation";"DSI";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"";"FinanceComptabilite";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"Finance";"FinanceComptabilite";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"Fiscalite";"FinanceComptabilite";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
"ServiceComptabilite";"FinanceComptabilite";"EcoT_Users";"EcoT_Bordeaux";"EcoT_France"
